Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
10301442,"Fire Watch (Oxford Time Travel, #0.5)",Connie Willis,"Willis, Connie",James Patrick Kelly,"=""0962172596""","=""9780962172595""",0,3.89,WSFA Press,Hardcover,92,2010,1982,,2020/10/10,,,read,,,,1,,,0,,,,,
7576286,Blackout (All Clear #1),Connie Willis,"Willis, Connie",,"=""0345519833""","=""9780345519832""",4,3.85,Spectra,Paperback,491,2010,2010,2020/09/27,2020/02/08,,,read,"I'll have a detailed review of this when I finish [b:All Clear|7519231|All Clear (All Clear, #2)|Connie Willis|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320549311l/7519231._SY75_.jpg|9735628] since this is somewhat of an incomplete story, or just the first half of a novel.",,,1,,,0,,,,,
820343,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""0747591059""","=""9780747591054""",5,4.62,Bloomsbury Publishing,Hardcover,607,2007,2007,2020/09/13,2020/08/31,,,read,,,,1,,,0,,,,,
2495567,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0756404746""","=""9780756404741""",5,4.52,DAW,Mass Market Paperback,722,2008,2007,2011/02/03,2011/01/29,,,read,"This is an excellent book with lots of things going for it: a clever character, gripping plot, intriguing world, and told through a frame story all with a poetic flair to it. Rothfuss has written an epic tale that is both down to Earth and legendary at the same time.<br/><br/>For a more in-depth review, check out my blog: https://strakul.blogspot.com/2019/12/book-review-name-of-wind-by-patrick.html",,,2,,,0,,,,,
93124,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""0747581088""","=""9780747581086""",4,4.57,Bloomsbury Publishing,Hardcover,607,2005,2005,2020/08/30,2020/08/23,,,read,,,,1,,,0,,,,,
53086262,"Harrow the Ninth (The Locked Tomb, #2)",Tamsyn Muir,"Muir, Tamsyn",,"=""""","=""""",5,4.31,Tor.com,Kindle Edition,497,2020,2020,2020/08/23,2020/03/15,,,read,"Holy shit this was an incredible book. It has it all: a very intriguing setting that keeps you wondering how things work. A plot that keeps you glued to the story; I had many theories on what was going on- most of them wrong. And characters that are fascinating to read about, whether they are discussing the mysteries of life and death, visiting other planets, or just enjoying some soup. I highly recommend this series and can't wait for the next book!<br/><br/>Read my full review at my blog (warning: has spoilers for [b:Gideon the Ninth|42036538|Gideon the Ninth (The Locked Tomb, #1)|Tamsyn Muir|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546870952l/42036538._SY75_.jpg|60943229]): https://strakul.blogspot.com/2020/08/book-review-harrow-ninth-by-tamsyn-muir.html",,,1,,,0,,,,,
49088622,"Ten Arrows of Iron (The Grave of Empires, #2)",Sam Sykes,"Sykes, Sam",,"=""0316363472""","=""9780316363471""",0,4.22,Orbit,Paperback,720,2020,2020,,2020/08/15,to-read,to-read (#62),to-read,,,,0,,,0,,,,,
444327,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",,"=""0747551006""","=""9780747551003""",4,4.50,Bloomsbury Publishing,Hardcover,766,2003,2003,2020/08/12,2020/08/05,,,read,,,,1,,,0,,,,,
27833610,The Last Days of New Paris,China Miéville,"Miéville, China",,"=""0345543998""","=""9780345543998""",3,3.55,Del Rey,Hardcover,205,2016,2016,2020/08/04,2016/03/14,,,read,"This was quite an interesting ride. I was not too familiar with Surrealist art, but gained a deeper appreciation of it thanks to this novella. I also appreciated its length since a much longer novel would have been exhausting with all the craziness that takes place. The characters were decent, but the main selling point was New Paris and the unique setting were art and devils roam the streets alongside Nazis and resistance fighters. While not my favorite Mieville story, this is in line with the weird fiction he is known for.<br/><br/>For a full review, check out my blog: https://strakul.blogspot.com/2020/08/book-review-last-days-of-new-paris-by.html",,,1,,,0,,,,,
824657,"To Say Nothing of the Dog: or, How We Found the Bishop's Bird Stump at Last (Oxford Time Travel #2)",Connie Willis,"Willis, Connie",,"=""0553099957""","=""9780553099959""",5,4.12,Bantam Spectra,Hardcover,434,1998,1998,2020/07/28,2020/02/09,,,read,"This was an excellent book. I had some initial hesitation, since I tend to favor more epic stories and this one was described to me as a more comedic story. However, I ended up enjoying it immensely. It is indeed a playful story with a bit of detective work, some romance, some action, and a lot of crazy characters. I'll be remembering the antics for quite some time and look forward to wrapping up the time travel series with Blackout/All Clear sometime soon.<br/><br/>For a full review, check out my blog: https://strakul.blogspot.com/2020/07/book-review-to-say-nothing-of-dog-by.html",,,1,,,0,,,,,
532846,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",,"=""1551923378""","=""9781551923376""",5,4.56, Raincoast Books,Hardcover,636,2000,2000,2020/07/23,2020/07/20,,,read,,,,1,,,0,,,,,
38200846,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.57,Bloomsbury,Hardcover,,1999,1999,2020/07/19,2020/07/17,,,read,,,,1,,,0,,,,,
6064824,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",4,4.43,Bloomsbury,Hardcover,251,1998,1998,2020/07/15,2020/07/13,,,read,,,,1,,,0,,,,,
848654,"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""0747532699""","=""9780747532699""",3,4.47,Bloomsbury Publishing,Hardcover,223,1997,1997,2020/07/12,2010/12/02,,,read,,,,2,,,0,,,,,
45154551,"The Last Emperox (The Interdependency, #3)",John Scalzi,"Scalzi, John",,"=""""","=""""",0,4.10,Tor Books,Kindle Edition,308,2020,2020,,2020/07/07,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
39873472,"A Memory Called Empire (Teixcalaan, #1)",Arkady Martine,"Martine, Arkady",,"=""""","=""""",4,4.14,Tor Books,Kindle Edition,454,2019,2019,2020/06/28,2020/04/26,,,read,"This was a pretty solid book. The high-tech mesoamerican setting and the intrigue of the Teixcalaanli court is very cool and the characters play well within it. It feels quite fast paced as well with a lot going on in a relatively short span of time. I also liked some of the poetry in it, which gave it that extra fancy feel to the whole novel. In the end, it's a complex story of imperialism and a small nation's struggle to remain itself amidst its own yearning to be part of the culture that threatens to engulf it.<br/><br/>For a longer review, check out my blog: https://strakul.blogspot.com/2020/06/book-review-memory-called-empire-by.html",,,1,,,0,,,,,
53465671,"The Mysterious Study of Doctor Sex (The Locked Tomb, #0.5)",Tamsyn Muir,"Muir, Tamsyn",,"=""""","=""""",0,4.02,Tor Books,ebook,28,2020,2020,,2020/06/11,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
43558961,"The City We Became (Great Cities, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.01,Orbit,Kindle Edition,464,2020,2020,2020/04/24,2020/03/24,,,read,"This was an excellent book. Jemisin manages to take an already well-established setting, the ""mythological"" New York, and take it to new heights with surrealist magic and eldritch horrors. A diverse set of characters lead the story as the avatars of the five boroughs of New York and it's really neat to see them embracing who they are and interacting with each other. Thanks to a fast paced plot, I finished this fairly quickly and kept wanting for more as there are some tantalizing mysteries left out in the open. I was presently surprised to hear in the acknowledgements (yes, I read those too) that this is the first of a trilogy. Looking forward to more books in this strange new universe!<br/><br/>For a full review, check out my blog: https://strakul.blogspot.com/2020/04/book-review-city-we-became-by-nk-jemisin.html",,,1,,,0,,,,,
29570143,New York 2140,Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""031626234X""","=""9780316262347""",0,3.56,Orbit,Hardcover,624,2017,2017,,2020/04/13,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
5280986,"Guards! Guards! (Discworld, #8)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",3,4.30,HarperCollins e-books,Kindle Edition,344,2009,1989,2020/04/04,2020/03/16,,,read,"This was a lighthearted novel with a funny, if somewhat incompetent, set of characters in situations way over their heads. It has the typical humor you see in other Discworld novels which leads you shaking your head wondering how a society like this could exist. It was good fun, though the light-ness of it felt very out of place when I was reading news. In hindsight, a more engrossing novel that kept me thinking far into it would probably have been better.<br/><br/>Check out my full review on my blog: https://strakul.blogspot.com/2020/04/book-review-guards-guards-by-terry.html",,,1,,,0,,,,,
48829708,To Sleep in a Sea of Stars,Christopher Paolini,"Paolini, Christopher",,"=""1250762847""","=""9781250762849""",0,3.91,Tor Books,Hardcover,878,2020,2020,,2020/03/17,to-read,to-read (#58),to-read,,,,0,,,0,,,,,
42288661,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,"Muir, Tamsyn",,"=""""","=""""",5,4.20,Tor.com,Kindle Edition,479,2019,2019,2020/03/15,2019/12/18,,,read,"This was an incredible book to read and I can see why it's being praised so highly. I though the characters were great and I wanted to learn more about the individual Houses and what made them unique. The plot was very engaging as well and I raced through the last hundred pages or so. I look forward to the next in the series, which I understand is coming out in June of this year, and I highly recommend it for fans of either fantasy or science fiction.<br/><br/>For my full review, check out my blog: https://strakul.blogspot.com/2020/03/book-review-gideon-ninth-by-tamsyn-muir.html",,,1,,,0,,,,,
1119221,Doomsday Book,Connie Willis,"Willis, Connie",,"=""0553081314""","=""9780553081312""",5,4.02,Spectra,Hardcover,445,1992,1992,2020/02/15,2020/01/03,,,read,"As my first foray into books by Connie Willis, I am sold. This book was incredible and, in hindsight, well deserving of the awards it has earned. I like how real the characters were, including the ones I hated. The plot kept me glued to the story and there is some clever foreshadowing and misdirection going on that kept me guessing what was going to happen all the way to the end. I highly recommend this book and will look forward to reading her other time travel books.<br/><br/>Check out my blog for my full review: https://strakul.blogspot.com/2020/02/book-review-doomsday-book-by-connie.html",,,1,,,0,,,,,
43610634,Steel Crow Saga,Paul   Krueger,"Krueger, Paul",,"=""""","=""""",4,4.01,Del Rey,Kindle Edition,528,2019,2019,2020/01/26,2019/12/18,,,read,"This was a great book that was very fun to read. Very lively characters and engaging plot all set in a refreshing fantasy setting that breaks from the European tropes. The magic was exciting, yet not overbearing- at the end of the day the story is about the relationship between the four main characters and how that ties to the greater geopolitical struggles they find themselves in. The novel also wraps up very neatly making this a good standalone book, though I wouldn't mind reading other stories set in this world!<br/><br/>For a full review, check out my blog: https://strakul.blogspot.com/2020/01/book-review-steel-crow-saga-by-paul.html",,,1,,,0,,,,,
43936287,"Starsight (Skyward, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.44,Delacorte Press,Kindle Edition,461,2019,2019,2020/01/10,2019/11/26,,,read,"I'm a fan of Sanderson and this is a classic Sanderson novel. Good characters, intricate setting, and a racing plot. One of my favorite things about his books is how he sets up a mystery for the characters to solve and effectively encourages the reader to do the same. Yet somehow, he always manages to stay one step ahead of me- I always think I know what the 'answer' is yet at the end, I'm always proven wrong and the real answer is far more interesting than what I expected. This happens again here and in hindsight there is plenty of cleverly hidden foreshadowing that would be rewarding to look through in a re-read.<br/><br/>For a full review, check out my blog: https://strakul.blogspot.com/2020/01/book-review-starsight-by-brandon.html",,,1,,,0,,,,,
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,"=""0385534639""","=""9780385534635""",0,4.03,Doubleday,Hardcover,391,2011,2011,,2020/01/09,to-read,to-read (#57),to-read,,,,0,,,0,,,,,
17910048,"The Goblin Emperor (The Goblin Emperor, #1)",Katherine Addison,"Addison, Katherine",,"=""076532699X""","=""9780765326997""",0,4.00,Tor Books,Hardcover,446,2014,2014,,2019/12/19,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
25242184,The Slow Regard of Silent Things,Patrick Rothfuss,"Rothfuss, Patrick",,"=""0756411327""","=""9780756411329""",4,3.90,DAW,Paperback,159,2015,2014,2019/12/01,2019/11/19,,,read,"It's interesting to read a book where the author actively warns you that you might not like it. This is indeed a very odd, short novella. It focuses solely on Auri, preparing for the arrival of Kvothe and deals with her daily activities up to that point. Right from the get-go you realize how broken and shattered Auri is, even if you had no prior experience with her from Rothfuss's other books. It's amazing how she survives alone while devoting so much of her attention to how inanimate objects should be placed all over the underground world she lives in. Though, with names like Mantle, Tree, Foxen, and Fulcrum, and having seen the magic of The Name of the Wind, you suspect there may be something deeper there. Very little happens in this story- there is one character and almost no plot, but there is a soft, subtle magic in language, in repetition, in the melancholic musings of a young woman all alone. It is a book for slightly broken people and for those who can spare the time for a slow, achingly sweet story that is a poem written in prose.",,,1,,,0,,,,,
40489155,"Seven Blades in Black (The Grave of Empires, #1)",Sam Sykes,"Sykes, Sam",,"=""""","=""""",5,4.06,Orbit,Kindle Edition,704,2019,2019,2019/10/20,2019/03/21,,,read,"This was an excellent read with some intense action and cool world building. I would have like a larger set of characters, but Sal alone can drive the story almost entirely on her own. She is a bad-ass woman seeking revenge. At first you don't know exactly why, but once you do you are all in for her. Add to that an intricate world that feels like a Final Fantasy game and some epic monsters and battles and you got yourself a great Sykes novel.<br/><br/>For a full review, check out my blog: https://strakul.blogspot.com/2019/10/book-review-seven-blades-in-black-by.html",,,1,,,0,,,,,
18626894,"His Majesty's Dragon (Temeraire, #1)",Naomi Novik,"Novik, Naomi",,"=""""","=""""",4,4.03,Del Rey,Kindle Edition,384,2006,2006,2016/08/23,2012/03/18,,,read,"This was an fun, casual book. While the plot or characters aren't incredibly amazing, they are decent and the setting is very cool. I'll certainly be looking into real history to see how this novel and the subsequent ones compare. I did enjoy Temeraire as a dragon and the Epilogue sets the stage for future conflicts that will be interesting to read about.<br/><br/>For my full review, check out my blog: http://strakul.blogspot.com/2016/08/book-review-his-majestys-dragon-by.html",,,1,,,0,,,,,
22816087,Seveneves,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",4,3.98,William Morrow,Kindle Edition,880,2015,2015,2019/07/14,2015/05/19,,,read,"This was quite a good book, with lots of grand topics and epic feats as ordinary people struggle against the forces of nature. It has a decent set characters, though it changes part way, and there is no single main character across the whole story. In typical hard-scifi fashion, a lot of time is spent describing scientific concepts, such as orbital mechanics or genetics. I was OK with this, but your mileage may vary.<br/><br/>For a more in-depth review, check out my blog: https://strakul.blogspot.com/2019/07/book-review-seveneves-by-neal-stephenson.html",,,1,,,0,,,,,
26505409,Children of Earth and Sky,Guy Gavriel Kay,"Kay, Guy Gavriel",,"=""""","=""""",5,4.13,Berkley,Kindle Edition,585,2016,2016,2019/04/21,2016/03/14,,,read,"This was a great book. It combines an interesting historical period with some magic and strong character-driven stories. I was fascinated by the historical aspect and kept trying to guess or find out what the various nations and people were supposed to represent. Although I can't say I'm an expert of the late 1400s, I still was able to see the main historical players at the time and could research the rest. Of course, none of this is required to enjoy the story, but for me it was an added bonus.<br/><br/>For a full review, check out my blog: https://strakul.blogspot.com/2019/04/book-review-children-of-earth-and-sky.html ",,,1,,,0,,,,,
35184380,The Wandering Earth,Liu Cixin,"Cixin, Liu",,"=""""","=""9781784978495""",5,4.28,Head of Zeus,Hardcover,447,2017,2005,2018/06/30,2018/05/29,,,read,"An excellent collection of hard sci-fi stories from Liu Cixin, author of The Three Body Problem. Lots of really interesting concepts and themes are explored, ranging from alien contact, technology, exploration, and the end of the world.<br/><br/>See my review on my blog: https://strakul.blogspot.com/2018/06/book-review-wandering-earth-by-liu-cixin.html",,,1,,,0,,,,,
39395857,The Raven Tower,Ann Leckie,"Leckie, Ann",,"=""0356506991""","=""9780356506999""",0,3.94,Orbit,Hardcover,416,2019,2019,,2019/02/26,to-read,to-read (#55),to-read,,,,0,,,0,,,,,
34942741,"The Consuming Fire (The Interdependency, #2)",John Scalzi,"Scalzi, John",,"=""""","=""""",3,4.21,Tor Books,Kindle Edition,304,2018,2018,2019/02/24,2019/01/30,,,read,"Overall, this is a nice, short book that further continues the story of The Interdependency. In my opinion, it's not as good as its predecessor though it has its redeeming moments. I wish the characters or the plot were a bit more complex, but at least the setting gives me many things to think about. Even though it started slow, it certainly picked up pace in the later half of the book and ended with some epic scenes.<br/><br/>For a full review, check out my blog: https://strakul.blogspot.com/2019/02/book-review-consuming-fire-by-john.html ",,,1,,,0,,,,,
31576966,"God's Last Breath (Bring Down Heaven, #3)",Sam Sykes,"Sykes, Sam",,"=""""","=""""",5,4.12,Orbit,Kindle Edition,608,2017,,2019/01/26,2018/10/19,,,read,"An epic conclusion to an epic fantasy series. There is some pretty intense action and end-of-the-world vibes in this book. Combined with the excellent cast of characters and an interesting setting, this makes for an enjoyable ride for fans of the genre. Sykes has made a very neat, character-driven trilogy that is sure to delight.<br/><br/>For my full review, check out my blog: https://strakul.blogspot.com/2019/01/book-review-gods-last-breath-by-sam.html",,,1,,,0,,,,,
39353738,"Skyward (Skyward, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.52,Delacorte Press,Kindle Edition,546,2018,2018,2018/12/14,2018/11/24,,,read,"This was a very enjoyable read. I approached it as a standalone novella, yet was surprised to see it's a full length novel (~500 pages) and the first in a series. This means there's more cool things to see in this world. It's among the few Sanderson sci-fi works I've read so it's good to see he can also excel here as he does in fantasy. The characters were cool (especially the ship!) and the plot, though at times predictable, is paced perfectly. This will be a series to look out for.<br/><br/>For a full review, check out my blog: https://strakul.blogspot.com/2018/12/book-review-skyward-by-brandon-sanderson.html",,,1,,,0,,,,,
34453011,The Night Masquerade (Binti #3),Nnedi Okorafor,"Okorafor, Nnedi",,"=""""","=""""",5,4.05,Tor.com,Kindle Edition,205,2018,2018,2018/11/22,2018/11/12,,,read,"Very interesting ending to the trilogy. It felt like it had an extended epilogue since the main climax happens early on, but this was actually quite satisfying as it allowed us to see lots of threads wrap up and discover even more about the universe that Binti lives in.",,,1,,,0,,,,,
19103097,"The Magician's Land (The Magicians, #3)",Lev Grossman,"Grossman, Lev",,"=""""","=""""",4,4.12,Plume,Kindle Edition,402,2014,2014,2018/11/05,2018/09/13,,,read,"If you've been reading the series, I recommend you finish it by reading this book. It wraps up several of the overarching plot lines and brings closure to many character stories. This series is a bit of an odd one for me. Despite classifying it as fantasy in my blog, it isn't quite that. It has elements of fantasy, but it's more grounded in reality. Yet it's not magic realism in that way either; if anything, it's its opposite: magic without fantasy. This is a book about magic and fantasy for fans of neither, for fans of contemporary fiction that have little to no idea about speculative genre fiction and have no strong interest in pursuing it. It's nevertheless, an interesting and engaging read, and this final book is probably the best one in the trilogy.<br/><br/>See a full review at my blog: https://strakul.blogspot.com/2018/11/book-review-magicians-land-by-lev.html",,,1,,,0,,,,,
45252,"Pandora's Star (Commonwealth Saga, #1)",Peter F. Hamilton,"Hamilton, Peter F.",Marta García Martínez,"=""0345461622""","=""9780345461629""",0,4.23,Del Rey,Hardcover,768,2005,2004,,2018/10/20,to-read,to-read (#54),to-read,,,,0,,,0,,,,,
25297770,"The Mortal Tally (Bring Down Heaven, #2)",Sam Sykes,"Sykes, Sam",,"=""""","=""""",5,4.04,Orbit,Kindle Edition,270,2016,2016,2018/09/08,2018/07/20,,,read,"This was an excellent second book in the series. Continuing where the prior book, The City Stained Red, left off and takes it to a whole new level. We have the same familiar set of characters and these are thrust into ever more challenging circumstances as they struggle to contain (or exploit) the violence surrounding Cier'Djaal. With a strong set of characters, an engaging plot, and an intriguing setting, this book was a pleasure to read. As before, the book has a dark, gritty, violent tone with moments of wry humor thrown in to manage the tension.<br/><br/>Check out my blog for my full review: http://strakul.blogspot.com/2018/09/book-review-mortal-tally-by-sam-sykes.html",,,1,,,0,,,,,
36691498,"Home (Binti, #2)",Nnedi Okorafor,"Okorafor, Nnedi",,"=""""","=""""",4,4.09,Macmillan,Kindle Edition,168,2017,2017,2018/07/18,2018/07/03,,,read,"An great continuation in the Binti universe. This one really feels like a second part of the story and ends in a bit of a cliffhanger, but otherwise it was good to see more of Binti's experiences as she struggles to accept who she is, who her family wants her to be, and who she is becoming.",,,1,,,0,,,,,
398274,Ringworld (Ringworld #1),Larry Niven,"Niven, Larry",,"=""0345333926""","=""9780345333926""",3,3.96,Del Rey Ballantine Random House,Mass Market Paperback,342,1970,1970,2018/05/23,2010/12/18,,,read,"Overall, this was a pretty interesting book. A Ringworld would be incredible to behold and live in. While this novel is just the introduction to this world, it does a good job at selling the wonders and dangers of it. Plot-wise and character-wise it's not particularly noteworthy, but I think this is the type of book you read just for the setting. Maybe the other books in the series drive up the story, but even if they only explore the Ringworld and it's mysteries, that might be enough.<br/><br/>See my full review on my blog: https://strakul.blogspot.com/2018/05/book-review-ringworld-by-larry-niven.html",,,1,,,0,,,,,
877730,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618260269""","=""9780618260263""",5,4.36,Houghton Mifflin Co.,Paperback,407,2002,1954,,2010/12/02,,,read,,,,1,,,0,,,,,
118028,The Left Hand of Darkness  (Hainish Cycle #4),Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0441478123""","=""9780441478125""",4,4.08,Ace,Paperback,330,2010,1969,2018/04/08,2010/12/18,,,read,"I can see why this is a well-regarded book. Its strengths, like many classic science fiction novels, is in the setting, in the way alien ideas are presented in a way that reflects modern life today. This is a story of making an alien culture feel more human than our own. I was left wondering if a society like theirs could somehow improve upon the ills of our own world or if it would only make things worse. While I didn't care much for the slow plot and the cast of characters, I was impressed by the philosophical implications of their society and I'm sure it's the sort of thing I will think of for years to come.<br/><br/>See my full review at my blog: http://strakul.blogspot.com/2018/04/book-review-left-hand-of-darkness-by.html",,,2,,,0,,,,,
25762847,"Binti (Binti, #1)",Nnedi Okorafor,"Okorafor, Nnedi",,"=""""","=""""",5,3.93,Tor.com,Kindle Edition,96,2015,2015,2018/02/28,2017/01/26,,,read,"This was a fascinating short read. It can be finished in an hour or two and you can even find a free preview of it at Tor. I'm always a fan of world building but frequently forget that while other species and distant planets are fine, there are plenty of exciting peoples here on Earth too. Binti is indisputably human and a hero with intriguing talents and an exotic culture that makes her that much cooler. I'm curious to learn more about her story and wonder what the other two books in the series are about.<br/><br/>You can find my full review over at my blog: http://strakul.blogspot.com/2018/02/book-review-binti-by-nnedi-okorafor.html",,,1,,,0,,,,,
